mse,mae
0.9892339706420898,1.4344191551208496
0.20608055591583252,0.9972079992294312
0.15300627052783966,0.8407447338104248
0.1641247719526291,0.931542158126831
0.12229111790657043,0.6749391555786133
1.7584336996078491,2.1616899967193604
0.21226073801517487,1.1342594623565674
0.17901521921157837,1.1050679683685303
5.217274188995361,2.999350070953369
0.20471185445785522,1.036921739578247
0.21134346723556519,1.1673444509506226
0.47754234075546265,1.6095044612884521
0.2307051569223404,1.1383419036865234
0.11342638731002808,0.7613575458526611
0.11166582256555557,0.8374342918395996
0.28214335441589355,1.3428492546081543
0.21356472373008728,1.1686372756958008
0.2050141543149948,1.1815423965454102
0.10881343483924866,0.7787339687347412
0.1821880042552948,1.0912519693374634
0.3749510645866394,1.2539691925048828
0.24650508165359497,1.0295257568359375
0.12978634238243103,0.7685682773590088
0.11356808245182037,0.8320250511169434
0.06637036800384521,0.6245498657226562
0.2548710107803345,1.2410340309143066
0.0621676929295063,0.5792412757873535
0.09287714958190918,0.6727283000946045
0.11303387582302094,0.7822716236114502
0.19855527579784393,0.8570165634155273
0.6872842907905579,1.5662832260131836
0.14882391691207886,0.7937591075897217
0.2737343907356262,1.1291735172271729
0.06211862340569496,0.4363527297973633
0.062411997467279434,0.510706901550293
0.09722744673490524,0.7420825958251953
0.7742691040039062,1.6687138080596924
0.19771277904510498,1.0083489418029785
0.11682665348052979,0.8923158645629883
0.11726373434066772,0.5172252655029297
